X,Y,OBJECTID,DIRECCION,LOCALIZACION,LINK_FOTO,LINK_DETALLE,X_MAGNAMED,Y_MAGNAMED,LONGITUD,LATITUD
-75.6080139994963,6.23863300086768,66,Cr 83C Cl 33,El Castillo,https://www.medellin.gov.co/simm/camaras-cctv/imagen77.jpg,https://www.medellin.gov.co/simm/,830604.8779,1181859.5059,-75.608014,6.238633
-75.6073709993657,6.25214800056508,67,Cr 89 Cl 44,Everest,https://www.medellin.gov.co/simm/camaras-cctv/imagen78.jpg,https://www.medellin.gov.co/simm/,830676.1727,1183354.4443,-75.607371,6.252148
-75.6195080001724,6.27661499973249,68,Cr 108BB Cl 62D ,Túnel de Occidente,https://www.medellin.gov.co/simm/camaras-cctv/imagen79.jpg,https://www.medellin.gov.co/simm/,829333.0341,1186060.9532,-75.619508,6.276615
-75.5777330001714,6.27073799972856,69,Cr 65 Cl 71,La Florida,https://www.medellin.gov.co/simm/camaras-cctv/imagen80.jpg,https://www.medellin.gov.co/simm/,833956.7933,1185410.5811,-75.577733,6.270738
-75.640979000204,6.27609800036866,70,Cr 134 Cl 59,Vivero Túnel de Occidente,https://www.medellin.gov.co/simm/camaras-cctv/imagen81.jpg,https://www.medellin.gov.co/simm/,826956.5548,1186004.0601,-75.640979,6.276098
-75.5622687541782,6.29541048217797,71,Cr 63A Cl 103,Quebrada Tinajas,https://www.medellin.gov.co/simm/camaras-cctv/imagen17.jpg,https://www.medellin.gov.co/simm/,835668.4253,1188139.6792,-75.56226875,6.29541048
-75.5752676190235,6.2491321181007,72,Cr 63A Cl 38 ,Estaciom Cisneros,https://www.medellin.gov.co/simm/camaras-cctv/imagen.jpg,https://www.medellin.gov.co/simm/,834229.6245,1183020.6685,-75.57526762,6.24913212
-75.5753797737153,6.23953196454766,73,Cr 62 Cl 40,Glorieta Exposiciones,https://www.medellin.gov.co/simm/camaras-cctv/imagen54.jpg,https://www.medellin.gov.co/simm/,834217.1891,1181958.7602,-75.57537977,6.23953197
-75.5706760940024,6.25804522057976,12,Cr 57 Cl 58A,Fatelares,https://www.medellin.gov.co/simm/camaras-cctv/imagen46.jpg,https://www.medellin.gov.co/simm/,834737.8649,1184006.572,-75.57067609,6.25804522
-75.5804983429118,6.21903154986908,26,Cr 52 Cl14,Centro Empresarial Olaya,https://www.medellin.gov.co/simm/camaras-cctv/imagen26.jpg,https://www.medellin.gov.co/simm/,833650.5444,1179691.1474,-75.58049834,6.21903155
-75.5763087330104,6.19274528318349,39,Cr 43A Cl 12 Sur,Virgen Aguacatala,https://www.medellin.gov.co/simm/camaras-cctv/imagen27.jpg,https://www.medellin.gov.co/simm/,834114.2503,1176783.5142,-75.57630873,6.19274528
-75.5748560002797,6.25757100082969,53,Cr 62 Cl 55,Minorista,https://www.medellin.gov.co/simm/camaras-cctv/imagen64.jpg,https://www.medellin.gov.co/simm/,834275.2037,1183954.1237,-75.574856,6.257571
-75.5734924128904,6.27566867479459,8,Cr 65 Tv 78,Castipán,https://www.medellin.gov.co/simm/camaras-cctv/imagen40.jpg,https://www.medellin.gov.co/simm/,834426.1677,1185955.9718,-75.57349241,6.27566868
-75.5693403541048,6.22542026338213,23,Cr 43A Cl 26,Astor,https://www.medellin.gov.co/simm/camaras-cctv/imagen28.jpg,https://www.medellin.gov.co/simm/,834885.6831,1180397.8032,-75.56934035,6.22542026
-75.5766735134703,6.20879504686237,33,Cr 48 Cl 7,Av Las Vegas - Icollantas,https://www.medellin.gov.co/simm/camaras-cctv/imagen43.jpg,https://www.medellin.gov.co/simm/,834073.9084,1178558.8389,-75.57667351,6.20879505
-75.5710359998809,6.28373300013907,49,Cr 64C Cl 88A,Tanques Ecopetrol,https://www.medellin.gov.co/simm/camaras-cctv/imagen60.jpg,https://www.medellin.gov.co/simm/,834698.0614,1186847.9929,-75.571036,6.283733
-75.5799720000524,6.22176199991408,64,Cr 52 Cl 20,Zoológico,https://www.medellin.gov.co/simm/camaras-cctv/imagen75.jpg,https://www.medellin.gov.co/simm/,833708.8165,1179993.1709,-75.579972,6.221762
-75.5744311861092,6.26819810872219,9,Cr 64C Cl 67,Coca-Cola,https://www.medellin.gov.co/simm/camaras-cctv/imagen4.jpg,https://www.medellin.gov.co/simm/,834322.2464,1185129.6266,-75.57443119,6.26819811
-75.5753140000988,6.20137699916163,57,Cr 43C Cl 4S,Carulla Oviedo,https://www.medellin.gov.co/simm/camaras-cctv/imagen68.jpg,https://www.medellin.gov.co/simm/,834224.3864,1177738.298,-75.575314,6.201377
-75.5616585068481,6.30341707623143,2,Cr 64C Cl 104,Autopista Norte - Deprimido Feria de Ganado,https://www.medellin.gov.co/simm/camaras-cctv/imagen41.jpg,https://www.medellin.gov.co/simm/,835735.9613,1189025.3186,-75.56165851,6.30341708
-75.5647698690414,6.20893903680441,32,Cl 10A 34,Hotel 10,https://www.medellin.gov.co/simm/camaras-cctv/imagen39.jpg,https://www.medellin.gov.co/simm/,835391.6069,1178574.7516,-75.56476987,6.20893904
-75.5839949993301,6.28423400045405,50,Cr 80 Cl 80,CAI López de Mesa,https://www.medellin.gov.co/simm/camaras-cctv/imagen61.jpg,https://www.medellin.gov.co/simm/,833263.7442,1186903.4447,-75.583995,6.284234
