OBJECTID,SHAPEAREA,SHAPELEN,COMUNA,BARRIO,CODIGO,NOMBRE_BARRIO,NOMBRE_COMUNA
260,373278.088015295,3771.38195570818,90,89,9089,Suburbano Matasano 1,SANTA ELENA
261,548053.00097757,4007.15916311581,11,14,1114,Los Colores,LAURELES
262,534772.37277496,3115.18513409095,16,21,1621,Cerro Nutibara,BELEN
263,213919.898353235,2761.17309297174,04,03,0403,Palermo,ARANJUEZ
264,11113461.1313617,20626.3392981718,90,05,9005,Media Luna,SANTA ELENA
320,289141.769857645,3565.83530616343,02,05,0205,La Francia,SANTA CRUZ
321,335614.182923825,3485.38698865132,08,08,0808,Enciso,VILLA HERMOSA
265,152844.595418105,1899.28139899494,08,11,0811,Trece de Noviembre,VILLA HERMOSA
266,408076.26589544,2716.00610578542,05,19,0519,El Progreso,CASTILLA
267,207345.39919577,1988.85695246792,10,15,1015,Bomboná No. 1,LA CANDELARIA
268,327333.90106174,2688.83081955175,04,14,0414,Brasilia,ARANJUEZ
269,216120.964795675,1851.30422654232,11,06,1106,U.P.B.,LAURELES
270,97458.105132595,1549.42400001481,07,04,0704,Facultad Veterinaria y Zootecnia U.de.A.,ROBLEDO
271,368014.90243569,3360.97308021774,05,14,0514,Alfonso López,CASTILLA
272,421677.13919486,3064.02344102191,12,12,1212,Santa Teresita,LA AMERICA
273,158208.522206905,1999.20432262596,02,11,0211,La Rosa,SANTA CRUZ
274,279561.04244908,3141.77103786806,12,06,1206,Santa Lucía,LA AMERICA
275,276358.01486711,3151.10525727187,80,89,8089,Suburbano Potrerito,SAN ANTONIO DE PRADO
276,296586.348532125,3080.41099783087,01,11,0111,La Avanzada,POPULAR
277,263114.513089785,2877.48240761001,01,02,0102,Santo Domingo Savio No. 2,POPULAR
278,354923.040904125,2625.09642276247,16,06,1606,Las Playas,BELEN
279,271249.27664947,3506.09310277338,02,06,0206,Andalucía,SANTA CRUZ
280,6307171.38019476,12563.6840485979,80,05,8005,La Verde ,SAN ANTONIO DE PRADO
281,434467.93792381,2688.69216200845,16,01,1601,Fátima,BELEN
282,1833653.80149995,8445.86403473437,60,84,6084,Suburbano La Loma,SAN CRISTOBAL
283,248172.039310175,2608.70981384624,60,10,6010,Pedregal Bajo,SAN CRISTOBAL
284,483737.22668647,2983.29357198257,14,06,1406,Las Lomas No.1,EL POBLADO
285,368163.035106555,3107.56861171793,04,13,0413,Aranjuez,ARANJUEZ
286,470883.53798318,4487.79423549325,16,08,1608,La mota,BELEN
287,1094665.14351877,6007.66782301001,60,17,6017,La Loma Oriental,SAN CRISTOBAL
288,410487.49687839,3331.04218034665,11,11,1111,Lorena,LAURELES
289,145423.90695363,1709.88829607499,02,08,0208,Villa Niza,SANTA CRUZ
290,204881.954538315,3546.20112666137,02,02,0202,Playón de Los Comuneros,SANTA CRUZ
291,365914.67229437,2977.78687797948,11,12,1112,El Velódromo,LAURELES
292,162805.286455865,1874.05128641739,16,19,1619,Miravalle,BELEN
293,389352.847995685,3111.74444094899,03,03,0303,Campo Valdés No. 2,MANRIQUE
294,282865.963603355,2652.66623586216,05,12,0512,Oleoducto,CASTILLA
295,236608.790146425,2464.30128483941,10,17,1017,Los Ángeles,LA CANDELARIA
296,152194.581502415,2199.80553281893,04,11,0411,Las Esmeraldas,ARANJUEZ
297,1494757.48419486,7929.93609329341,60,05,6005,Naranjal,SAN CRISTOBAL
298,114591.111377785,1836.18700854701,70,83,7083,La Esperanza,ALTAVISTA
299,453653.03245967,3532.37226584467,07,24,0724,Monteclaro,ROBLEDO
300,776989.072653365,5249.27271560278,60,04,6004,El Uvito,SAN CRISTOBAL
301,437285.59372932,3072.55527750567,06,02,0602,Doce de Octubre No.1,DOCE DE OCTUBRE
302,415183.177890645,4838.85301373386,12,08,1208,Campo Alegre,LA AMERICA
303,751482.684221435,7050.07638900726,50,05,5005,La Aldea,PALMITAS
304,767887.22639259,4237.6322517089,15,09,1509,Cristo Rey,GUAYABAL
305,151951.214702855,2152.77578802529,08,19,0819,Villa Liliam,VILLA HERMOSA
306,100043.764706905,1525.37425815995,13,05,1305,Metropolitano,SAN JAVIER
307,481661.96846476,2812.75797850893,07,01,0701,Universidad Nacional,ROBLEDO
